|6.6.6																					
average_ww_mp_ds6_2_1.tab																					
	2																				
T(K)																					
	723																				
	3.174603175																				
	64																				
P(bar)																					
	5000																				
	158.7301587																				
	64																				
	21																				
T(K)	P(bar)	C[Gt(W)1]	C[Gt(W)2]	C[Gt(W)3]	C[Gt(W)4]	C[Bi(W)5]	C[Bi(W)6]	C[Bi(W)7]	C[Bi(W)8]	C[Bi(W)9]	C[Mica(W)10]	C[Mica(W)11]	C[Mica(W)12]	C[Mica(W)13]	C[Mica(W)14]	C[Chl(W)15]	C[Chl(W)16]	C[Chl(W)17]	C[Chl(W)18]	C[Chl(W)19]	
	891.254	5000	0.43007	7.71E-02	0.343571	2.1493	1.19875	1.45461	2.66165	1.67669	8.30E-03	2.68E-02	2.22E-02	3.04436	2.90656	0.141066	NaN	NaN	NaN	NaN	NaN
	894.429	5000	0.434093	7.53E-02	0.338332	2.15231	1.19676	1.45307	2.65811	1.68378	8.28E-03	2.71E-02	2.25E-02	3.04496	2.90544	0.137629	NaN	NaN	NaN	NaN	NaN
	897.603	5000	0.438009	7.37E-02	0.332815	2.15549	1.19489	1.45143	2.65457	1.69085	8.25E-03	2.73E-02	2.28E-02	3.04554	2.90436	0.134277	NaN	NaN	NaN	NaN	NaN
	900.778	5000	0.424733	7.14E-02	0.288243	2.21564	1.13977	1.50581	2.65286	1.69429	7.28E-03	2.66E-02	2.39E-02	3.04611	2.90339	0.130952	NaN	NaN	NaN	NaN	NaN
	903.952	5000	0.418568	6.99E-02	0.277087	2.23442	1.11363	1.53051	2.65127	1.69745	7.13E-03	2.66E-02	2.47E-02	3.0471	2.90156	0.126577	NaN	NaN	NaN	NaN	NaN
	907.127	5000	0.419148	6.92E-02	0.285419	2.22621	1.1103	1.53147	2.64925	1.70149	7.48E-03	2.70E-02	2.53E-02	3.04821	2.89947	0.121938	NaN	NaN	NaN	NaN	NaN
	910.302	5000	0.419679	6.84E-02	0.293321	2.21858	1.10717	1.53225	2.64727	1.70547	7.84E-03	2.74E-02	2.59E-02	3.04927	2.89747	0.11762	NaN	NaN	NaN	NaN	NaN
	913.476	5000	0.420547	6.79E-02	0.301976	2.20961	1.10408	1.53299	2.64527	1.70946	8.20E-03	2.78E-02	2.64E-02	3.0503	2.89549	0.113389	NaN	NaN	NaN	NaN	NaN
	916.651	5000	0.421151	6.73E-02	0.309651	2.2019	1.10119	1.53357	2.64332	1.71335	8.57E-03	2.82E-02	2.69E-02	3.0513	2.89358	0.109399	NaN	NaN	NaN	NaN	NaN
	919.825	5000	0.421891	6.66E-02	0.31746	2.19404	1.09841	1.53404	2.64139	1.71723	8.94E-03	2.85E-02	2.75E-02	3.05227	2.89173	0.105656	NaN	NaN	NaN	NaN	NaN
	923	5000	0.422616	6.60E-02	0.325046	2.1863	1.09573	1.53442	2.63947	1.72106	9.32E-03	2.89E-02	2.80E-02	3.05321	2.88994	0.102073	NaN	NaN	NaN	NaN	NaN
	723	5158.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.94E-02	4.49E-02	3.08266	2.833	0.122519	2.87514	2.24972	1.84302	2.99502	3.71E-02
	726.175	5158.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.02E-02	4.61E-02	3.08456	2.82914	0.118391	2.87437	2.25126	1.8427	2.99454	3.71E-02
	729.349	5158.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.11E-02	4.74E-02	3.08663	2.82494	0.114147	2.87346	2.25308	1.84225	2.99405	3.72E-02
	732.524	5158.73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.20E-02	4.88E-02	3.08895	2.82025	0.109757	2.87323	2.25354	1.84204	2.99398	3.72E-02
	735.698	5158.73	NaN	NaN	NaN	NaN	0.745005	2.1646	2.9245	1.151	1.49E-02	4.22E-02	4.90E-02	3.08926	2.8195	0.107662	2.87024	2.25952	1.84712	2.98582	3.73E-02
	738.873	5158.73	NaN	NaN	NaN	NaN	0.752407	2.15322	2.92074	1.15852	1.51E-02	4.16E-02	4.81E-02	3.08758	2.82265	0.107573	2.86429	2.27141	1.85835	2.96849	3.75E-02
	742.048	5158.73	NaN	NaN	NaN	NaN	0.760592	2.14125	2.91689	1.16621	1.51E-02	4.09E-02	4.72E-02	3.08576	2.82615	0.10849	2.858	2.284	1.86597	2.95446	3.76E-02
	745.222	5158.73	NaN	NaN	NaN	NaN	0.765824	2.1321	2.91297	1.17406	1.50E-02	3.99E-02	4.60E-02	3.08349	2.8306	0.111235	2.85134	2.29732	1.8692	2.94457	3.76E-02
	748.397	5158.73	NaN	NaN	NaN	NaN	0.76935	2.12443	2.90889	1.18222	1.51E-02	3.89E-02	4.49E-02	3.08119	2.8351	0.113987	2.84443	2.31114	1.87264	2.93422	3.76E-02
	751.571	5158.73	NaN	NaN	NaN	NaN	0.77418	2.11551	2.9047	1.19061	1.50E-02	3.79E-02	4.37E-02	3.07903	2.83931	0.116719	2.83721	2.32559	1.87541	2.9242	3.76E-02
	754.746	5158.73	NaN	NaN	NaN	NaN	0.77826	2.10653	2.90037	1.19926	1.56E-02	3.69E-02	4.27E-02	3.07688	2.84352	0.119496	2.82969	2.34061	1.8782	2.91398	3.75E-02
	757.921	5158.73	NaN	NaN	NaN	NaN	0.78328	2.09718	2.89591	1.20818	1.54E-02	3.60E-02	4.16E-02	3.0748	2.84757	0.122286	2.82187	2.35626	1.88053	2.90381	3.75E-02
	761.095	5158.73	NaN	NaN	NaN	NaN	0.798761	2.0786	2.89141	1.21718	1.40E-02	3.56E-02	4.05E-02	3.07324	2.85058	0.124436	2.81574	2.36852	1.91165	2.86998	3.41E-02
	764.27	5158.73	NaN	NaN	NaN	NaN	0.821665	2.05253	2.88686	1.22628	1.27E-02	3.56E-02	3.95E-02	3.07204	2.8529	0.126159	2.81028	2.37944	1.95322	2.82675	3.03E-02
	767.444	5158.73	NaN	NaN	NaN	NaN	0.845348	2.02534	2.88219	1.23562	1.15E-02	3.55E-02	3.85E-02	3.07086	2.85518	0.127833	2.80488	2.39025	1.99696	2.78069	2.72E-02
	770.619	5158.73	NaN	NaN	NaN	NaN	0.857083	2.00905	2.87727	1.24546	1.11E-02	3.48E-02	3.75E-02	3.06915	2.85848	0.130281	2.79734	2.40532	2.01472	2.75636	2.63E-02
	773.794	5158.73	NaN	NaN	NaN	NaN	0.86181	1.99916	2.87214	1.25572	1.12E-02	3.40E-02	3.66E-02	3.06725	2.86216	0.133146	2.78829	2.42342	2.01646	2.74554	2.63E-02
	776.968	5158.73	NaN	NaN	NaN	NaN	0.866774	1.98887	2.86688	1.26624	1.12E-02	3.31E-02	3.56E-02	3.06529	2.86595	0.136127	2.77894	2.44211	2.01827	2.73442	2.63E-02
	780.143	5158.73	NaN	NaN	NaN	NaN	0.870519	1.97957	2.86148	1.27705	1.14E-02	3.23E-02	3.47E-02	3.06343	2.86953	0.139125	2.76931	2.46137	2.01989	2.72314	2.63E-02
	783.317	5158.73	NaN	NaN	NaN	NaN	0.874854	1.96962	2.85594	1.28812	1.15E-02	3.15E-02	3.38E-02	3.0616	2.87306	0.142074	2.75957	2.48085	2.02113	2.71217	2.63E-02
